"region","fastighetstyp","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"01 Stockholms län","permanentbostad (ej tomträtt)",506,505,519,531,558,607,727,953,1121,1236,1348,1194,1041,1136,1149,1132,1275,1437,1622,1968,2192,2349,2432,2579,2742,3077,3476,3477,3518,3783,3809,3843,4271,4646,4983,5579,5959,5620,5667
"03 Uppsala län","permanentbostad (ej tomträtt)",380,370,375,375,393,402,467,561,717,758,869,756,662,695,708,733,776,842,945,1049,1222,1336,1438,1570,1602,1810,1906,1963,1992,2160,2184,2309,2379,2500,2781,3081,3173,3137,3118
"04 Södermanlands län","permanentbostad (ej tomträtt)",332,336,339,350,360,382,421,499,595,704,786,727,612,627,622,644,671,731,765,854,911,972,1084,1185,1307,1492,1577,1594,1665,1753,1730,1741,1839,1899,2184,2364,2554,2628,2748
"05 Östergötlands län","permanentbostad (ej tomträtt)",345,348,341,350,363,378,406,470,534,602,667,625,603,597,609,628,667,731,760,824,877,951,1067,1155,1278,1439,1563,1568,1671,1751,1805,1840,1894,1985,2237,2418,2596,2764,2887
"06 Jönköpings län","permanentbostad (ej tomträtt)",301,296,287,294,298,310,338,375,430,501,554,520,481,512,511,530,574,601,651,688,742,782,843,937,1017,1101,1181,1257,1381,1416,1465,1463,1548,1617,1729,1877,2032,2175,2179
"07 Kronobergs län","permanentbostad (ej tomträtt)",289,291,269,288,291,297,323,355,390,443,494,489,443,495,504,520,547,597,600,614,672,685,739,838,883,1005,1145,1185,1221,1287,1322,1334,1464,1480,1547,1672,1849,1926,1969
"08 Kalmar län","permanentbostad (ej tomträtt)",263,260,251,267,273,291,310,341,383,449,517,473,447,450,474,505,531,556,569,599,633,674,704,743,833,971,966,1026,1106,1196,1217,1273,1296,1317,1409,1533,1693,1757,1726
"09 Gotlands län","permanentbostad (ej tomträtt)",278,284,265,271,314,323,330,399,453,523,625,548,506,550,529,574,596,611,682,779,831,933,1049,1228,1294,1404,1661,1700,1707,1868,1852,1908,2001,2091,2274,2567,2831,2937,3002
"10 Blekinge län","permanentbostad (ej tomträtt)",274,276,262,275,280,294,320,352,407,457,519,489,462,497,506,518,558,573,611,670,699,729,797,861,944,1038,1138,1122,1189,1256,1270,1278,1371,1393,1469,1494,1694,1798,1873
"12 Skåne län","permanentbostad (ej tomträtt)",308,307,309,318,330,340,369,422,516,596,717,657,603,627,632,667,734,795,866,955,1049,1113,1262,1417,1576,1821,2019,2012,2107,2253,2253,2247,2275,2376,2520,2676,2867,2986,3120
"13 Hallands län","permanentbostad (ej tomträtt)",306,325,329,343,357,387,417,494,580,662,799,687,668,677,684,705,761,851,889,984,1063,1111,1235,1468,1691,1829,2034,2030,2134,2293,2338,2390,2508,2634,2809,3073,3271,3352,3449
"14 Västra Götalands län","permanentbostad (ej tomträtt)",331,336,338,357,378,392,428,511,619,671,781,682,636,670,662,674,737,796,851,935,1004,1054,1189,1346,1470,1645,1803,1866,1932,2056,2130,2187,2267,2389,2571,2806,3125,3132,3219
"17 Värmlands län","permanentbostad (ej tomträtt)",262,253,252,266,275,291,314,357,416,467,504,462,435,462,466,482,512,538,553,580,588,623,631,681,740,838,936,1003,1082,1157,1146,1102,1234,1293,1376,1444,1550,1623,1738
"18 Örebro län","permanentbostad (ej tomträtt)",291,279,282,296,308,314,341,375,429,492,547,497,460,473,494,531,558,590,624,657,672,695,754,825,910,1004,1109,1177,1234,1257,1297,1302,1337,1488,1652,1787,1906,1930,2005
"19 Västmanlands län","permanentbostad (ej tomträtt)",310,309,308,328,336,354,374,431,521,586,642,579,546,573,558,588,630,644,703,762,796,864,947,1034,1135,1293,1439,1484,1611,1594,1598,1699,1640,1828,2044,2208,2388,2453,2500
"20 Dalarnas län","permanentbostad (ej tomträtt)",291,291,298,314,320,322,344,391,446,506,541,499,467,480,485,488,506,535,560,574,591,604,643,701,767,844,938,977,1053,1133,1148,1194,1220,1299,1430,1571,1707,1787,1858
"21 Gävleborgs län","permanentbostad (ej tomträtt)",275,280,273,281,294,303,321,368,411,467,508,469,446,452,442,479,493,516,538,553,600,593,638,678,764,817,908,985,997,1068,1123,1149,1166,1214,1354,1426,1587,1683,1791
"22 Västernorrlands län","permanentbostad (ej tomträtt)",262,268,279,287,287,304,330,361,391,445,486,457,418,445,421,459,489,510,537,536,549,569,578,628,692,758,794,845,898,955,943,985,1008,1101,1236,1363,1426,1506,1488
"23 Jämtlands län","permanentbostad (ej tomträtt)",301,303,306,309,315,322,352,377,427,489,559,512,448,472,448,484,552,504,562,583,590,610,663,710,772,839,924,1080,1038,1145,1161,1118,1263,1296,1609,1621,1723,1800,1786
"24 Västerbottens län","permanentbostad (ej tomträtt)",321,308,306,314,326,337,354,383,440,490,582,530,492,536,523,572,602,659,672,709,762,786,774,841,951,1038,1083,1140,1205,1275,1256,1296,1414,1482,1716,1789,1915,2076,2060
"25 Norrbottens län","permanentbostad (ej tomträtt)",252,261,261,281,287,315,326,371,422,484,527,465,446,447,438,445,474,498,526,548,578,589,602,617,724,755,802,842,864,907,930,987,1073,1173,1361,1384,1538,1511,1650
