"Sammanräknad förvärvsinkomst, medianinkomst för boende i Sverige hela året, tkr efter region, kön, ålder, inkomstklass och år"

"region","kön","ålder","inkomstklass","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"01 Stockholms län","totalt","totalt 20+ år","totalt",185.2,193.0,202.4,209.2,213.9,218.9,223.3,231.1,240.8,252.0,257.2,260.3,267.3,276.0,282.7,288.3,295.4,306.0,316.0,326.0,334.7
"03 Uppsala län","totalt","totalt 20+ år","totalt",167.0,174.1,182.7,190.9,196.8,201.4,204.8,211.3,218.7,228.6,233.6,235.8,242.3,250.4,257.0,262.1,269.3,279.1,287.5,295.1,302.3
"04 Södermanlands län","totalt","totalt 20+ år","totalt",163.0,169.0,176.6,184.0,190.4,195.4,199.7,206.1,214.4,223.6,226.8,227.8,233.2,239.5,244.2,246.8,253.5,262.0,269.8,277.3,283.2
"05 Östergötlands län","totalt","totalt 20+ år","totalt",159.8,166.7,172.8,180.8,186.3,190.8,194.2,200.4,208.3,217.5,222.2,223.2,228.4,235.4,241.7,246.1,253.3,263.8,272.2,280.5,288.9
"06 Jönköpings län","totalt","totalt 20+ år","totalt",162.9,170.6,178.3,185.7,191.8,197.5,202.0,209.4,218.7,228.6,230.7,233.1,240.0,247.5,253.2,258.8,265.6,275.9,285.4,293.7,300.3
"07 Kronobergs län","totalt","totalt 20+ år","totalt",161.3,167.2,174.8,182.0,188.2,193.8,198.6,206.1,214.6,224.2,226.8,227.1,233.4,240.0,245.3,249.4,255.2,265.5,273.6,281.2,287.9
"08 Kalmar län","totalt","totalt 20+ år","totalt",157.0,162.6,169.8,177.0,183.7,188.5,191.8,197.7,205.6,215.1,218.5,219.2,225.0,231.0,237.3,241.6,248.8,258.3,266.0,272.8,279.8
"09 Gotlands län","totalt","totalt 20+ år","totalt",150.8,156.8,163.5,169.7,175.8,180.0,183.1,189.2,196.0,204.2,209.1,210.1,213.5,219.8,225.6,228.8,236.8,245.3,254.3,261.0,267.5
"10 Blekinge län","totalt","totalt 20+ år","totalt",159.9,166.1,172.8,180.4,187.2,191.8,196.0,202.4,209.7,218.8,221.5,221.7,225.6,232.3,237.7,241.4,246.9,256.7,265.6,272.4,278.8
"12 Skåne län","totalt","totalt 20+ år","totalt",157.9,163.4,170.3,177.6,183.6,188.3,191.9,198.5,205.9,214.6,218.3,219.1,223.7,230.7,236.7,239.9,245.7,256.2,264.2,271.9,279.8
"13 Hallands län","totalt","totalt 20+ år","totalt",161.2,167.8,175.0,183.3,190.3,196.7,201.9,208.8,217.8,228.2,233.6,236.0,243.2,251.7,257.9,262.9,270.5,281.2,289.5,298.2,305.4
"14 Västra Götalands län","totalt","totalt 20+ år","totalt",164.9,171.3,178.8,186.8,193.3,198.6,203.0,209.4,217.9,227.8,231.0,231.7,238.6,246.4,252.1,256.9,265.1,277.0,287.0,296.1,303.8
"17 Värmlands län","totalt","totalt 20+ år","totalt",159.3,164.1,170.2,177.4,184.2,189.4,193.4,199.0,205.3,213.8,217.3,217.6,222.3,229.5,234.4,237.1,243.9,253.6,262.0,270.2,276.8
"18 Örebro län","totalt","totalt 20+ år","totalt",163.6,169.3,175.6,183.3,188.8,193.6,197.8,203.8,212.0,221.4,224.5,224.3,230.4,238.4,243.3,246.9,252.8,262.0,270.3,277.2,283.5
"19 Västmanlands län","totalt","totalt 20+ år","totalt",165.6,171.3,178.7,186.3,192.4,197.2,200.9,206.8,215.9,225.5,229.3,229.2,234.8,242.4,247.7,251.7,258.0,267.6,275.2,283.4,290.2
"20 Dalarnas län","totalt","totalt 20+ år","totalt",160.8,165.9,172.7,180.9,188.3,193.4,197.7,203.8,210.6,219.5,224.1,224.8,228.9,236.7,242.9,246.8,253.3,262.0,269.0,276.2,282.1
"21 Gävleborgs län","totalt","totalt 20+ år","totalt",161.7,167.0,173.1,180.3,187.4,191.7,196.1,202.0,209.2,218.4,222.2,223.2,227.7,233.7,239.6,242.0,247.7,256.9,264.8,271.8,278.0
"22 Västernorrlands län","totalt","totalt 20+ år","totalt",165.3,170.8,178.2,186.1,193.0,198.1,203.1,208.8,216.0,225.1,230.2,231.1,234.8,241.9,248.3,252.0,259.1,268.1,275.7,282.9,289.7
"23 Jämtlands län","totalt","totalt 20+ år","totalt",156.4,161.9,168.5,176.5,183.1,188.2,192.3,198.3,205.7,213.5,217.2,217.9,221.9,229.2,236.0,239.2,245.6,255.2,263.4,271.3,277.1
"24 Västerbottens län","totalt","totalt 20+ år","totalt",163.4,168.5,174.7,181.4,188.0,192.9,197.4,204.0,212.7,222.3,226.6,228.5,233.5,241.0,247.1,251.0,258.1,267.8,275.2,282.9,290.2
"25 Norrbottens län","totalt","totalt 20+ år","totalt",167.5,172.0,177.8,185.0,191.1,196.4,200.7,207.3,215.3,225.2,230.2,232.7,237.6,247.1,254.2,259.4,266.2,276.1,282.6,290.9,298.4
